
Instance: ORTEC-VRPTW-ASYM-9ee807e9-d1-n248-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:26, Cost_of_solution: 342948
Instance: ORTEC-VRPTW-ASYM-839f6b13-d1-n265-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:26, Cost_of_solution: 538688
Instance: ORTEC-VRPTW-ASYM-9d043e37-d1-n205-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:26, Cost_of_solution: 337601
Instance: ORTEC-VRPTW-ASYM-8512fc31-d1-n201-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:26, Cost_of_solution: 551302
Instance: ORTEC-VRPTW-ASYM-87afa1b5-d1-n296-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:27, Cost_of_solution: 374830
Instance: ORTEC-VRPTW-ASYM-8a61f4e1-d1-n210-k12.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:27, Cost_of_solution: 344303
Instance: ORTEC-VRPTW-ASYM-9d100d94-d1-n409-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:27, Cost_of_solution: 402144
Instance: ORTEC-VRPTW-ASYM-844ea26c-d1-n231-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:54:27, Cost_of_solution: 350213
Instance: ORTEC-VRPTW-ASYM-9c08a0ac-d1-n250-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:55:24, Cost_of_solution: 398035
Instance: ORTEC-VRPTW-ASYM-9b290a2e-d1-n403-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:55:24, Cost_of_solution: 418949
Instance: ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:55:24, Cost_of_solution: 266430
Instance: ORTEC-VRPTW-ASYM-94beb4a8-d1-n371-k21.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:55:25, Cost_of_solution: 385934
Instance: ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:55:29, Cost_of_solution: 372462
Instance: ORTEC-VRPTW-ASYM-97d6ff30-d1-n328-k22.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:55:32, Cost_of_solution: 368640
Instance: ORTEC-VRPTW-ASYM-9ffcb659-d1-n425-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:56:23, Cost_of_solution: 454230
Instance: ORTEC-VRPTW-ASYM-9faccacb-d1-n397-k22.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:56:23, Cost_of_solution: 404197
Instance: ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:57:21, Cost_of_solution: 370445
Instance: ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:57:21, Cost_of_solution: 314839
Instance: ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:57:26, Cost_of_solution: 360073
Instance: ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:57:29, Cost_of_solution: 304135
Instance: ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:57:29, Cost_of_solution: 347010
Instance: ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:19, Cost_of_solution: 558019
Instance: ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:19, Cost_of_solution: 343297
Instance: ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:19, Cost_of_solution: 318278
Instance: ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:19, Cost_of_solution: 421160
Instance: ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:19, Cost_of_solution: 237779
Instance: ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:20, Cost_of_solution: 538246
Instance: ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:20, Cost_of_solution: 388951
Instance: ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:20, Cost_of_solution: 237632
Instance: ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:20, Cost_of_solution: 228137
Instance: ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:58:20, Cost_of_solution: 392209
